opportunities,successes,success_rate
6148,2304,0.3747560182173064
6201,2282,0.36800516045799064
5959,2157,0.36197348548414165
5831,2092,0.3587720802606757
6087,2181,0.358304583538689
5924,2109,0.35600945307224846
5974,2116,0.3542015400066957
5845,2062,0.35278015397775875
5971,2091,0.35019259755484844
5779,2020,0.3495414431562554
6025,2103,0.349045643153527
5833,2013,0.34510543459626264
5890,2027,0.3441426146010187
5776,1985,0.34366343490304707
5954,2033,0.3414511252939201
5829,1989,0.3412249099330932
5959,2032,0.34099681154556133
5960,2030,0.34060402684563756
5844,1990,0.3405201916495551
5956,2016,0.33848220282068503
5800,1954,0.3368965517241379
5843,1968,0.336813280848879
5848,1969,0.33669630642954856
5914,1988,0.33615150490361856
5921,1969,0.3325451781793616
5876,1954,0.33253914227365555
5856,1944,0.3319672131147541
5773,1915,0.3317166118136151
5824,1927,0.33087225274725274
5945,1961,0.32985702270815814
