batter,opportunities,successes,success_rate
Jake Bauers,262,97,0.3702290076335878
Teoscar Hernández,200,74,0.37
Wade Meckler,92,34,0.3695652173913043
Jeremy Peña,176,65,0.3693181818181818
Kyle Karros,260,96,0.36923076923076925
Trent Grisham,260,96,0.36923076923076925
Alex Freeland,179,66,0.3687150837988827
Andrés Chaparro,38,14,0.3684210526315789
Brandon Marsh,277,102,0.36823104693140796
Nick Gonzales,288,106,0.3680555555555556
Esteury Ruiz,87,32,0.367816091954023
Nathaniel Lowe,196,72,0.3673469387755102
Jorbit Vivas,158,58,0.3670886075949367
Hyeseong Kim,131,48,0.366412213740458
Miguel Vargas,325,119,0.36615384615384616
José Caballero,227,83,0.3656387665198238
Austin Martin,238,87,0.36554621848739494
Seiya Suzuki,260,95,0.36538461538461536
Roman Anthony,126,46,0.36507936507936506
Joey Ortiz,181,66,0.36464088397790057
Nico Hoerner,343,125,0.36443148688046645
Johnathan Rodríguez,11,4,0.36363636363636365
Sterlin Thompson,77,28,0.36363636363636365
Blake Dunn,143,52,0.36363636363636365
Ozzie Albies,330,120,0.36363636363636365
Raynel Delgado,11,4,0.36363636363636365
Daniel Susac,113,41,0.36283185840707965
Luke Raley,207,75,0.36231884057971014
Isaac Collins,265,96,0.3622641509433962
Brandon Lowe,312,113,0.36217948717948717
Paul Goldschmidt,199,72,0.36180904522613067
Joc Pederson,235,85,0.3617021276595745
Wilyer Abreu,313,113,0.3610223642172524
Brandon Valenzuela,158,57,0.36075949367088606
Mickey Moniak,172,62,0.36046511627906974
Curtis Mead,222,80,0.36036036036036034
Kyle Stowers,228,82,0.35964912280701755
Taylor Walls,203,73,0.35960591133004927
Joey Loperfido,89,32,0.3595505617977528
A.J. Ewing,142,51,0.3591549295774648
Pete Alonso,346,124,0.3583815028901734
Kyle Tucker,313,112,0.35782747603833864
Lane Thomas,193,69,0.35751295336787564
Dillon Dingler,291,104,0.35738831615120276
Mickey Gasper,112,40,0.35714285714285715
Trey Mancini,14,5,0.35714285714285715
Matt Chapman,328,117,0.3567073170731707
Masyn Winn,289,103,0.356401384083045
Jordan Walker,320,114,0.35625
Christian Yelich,197,70,0.3553299492385787
Dalton Rushing,152,54,0.35526315789473684
Jorge Mateo,107,38,0.35514018691588783
Sal Frelick,251,89,0.3545816733067729
Daylen Lile,330,117,0.35454545454545455
Josh Bell,299,106,0.35451505016722407
Chase Meidroth,316,112,0.35443037974683544
J.P. Crawford,254,90,0.3543307086614173
Shea Langeliers,322,114,0.35403726708074534
Nicky Lopez,68,24,0.35294117647058826
Jake McCarthy,224,79,0.35267857142857145
Vinnie Pasquantino,298,105,0.3523489932885906
Ben Williamson,179,63,0.35195530726256985
Zach Neto,344,121,0.35174418604651164
Starling Marte,91,32,0.3516483516483517
Masataka Yoshida,165,58,0.3515151515151515
Everson Pereira,74,26,0.35135135135135137
Donovan Walton,74,26,0.35135135135135137
Max Muncy,402,141,0.35074626865671643
Austin Slater,77,27,0.35064935064935066
Ezequiel Duran,251,88,0.350597609561753
Yohendrick Piñango,137,48,0.35036496350364965
Jazz Chisholm Jr.,294,103,0.35034013605442177
Carson Benge,297,104,0.3501683501683502
Santiago Espinal,60,21,0.35
Jake Burger,300,105,0.35
Steven Kwan,289,101,0.3494809688581315
Chase DeLauter,269,94,0.34944237918215615
Luke Keaschall,292,102,0.3493150684931507
Drew Millas,126,44,0.3492063492063492
Maikel Garcia,295,103,0.34915254237288135
Cole Young,318,111,0.3490566037735849
Moisés Ballesteros,172,60,0.3488372093023256
Ian Happ,324,113,0.3487654320987654
Andy Pages,324,113,0.3487654320987654
Heliot Ramos,178,62,0.34831460674157305
José Ramírez,313,109,0.34824281150159747
Randal Grichuk,112,39,0.3482142857142857
Carter Jensen,273,95,0.34798534798534797
Ceddanne Rafaela,276,96,0.34782608695652173
Christian Walker,325,113,0.3476923076923077
Daulton Varsho,245,85,0.3469387755102041
Casey Schmitt,300,104,0.3466666666666667
Connor Norby,228,79,0.34649122807017546
Oswald Peraza,234,81,0.34615384615384615
Drew Gilbert,185,64,0.34594594594594597
Victor Scott II,185,64,0.34594594594594597
Taylor Trammell,84,29,0.34523809523809523
Will Smith,197,68,0.34517766497461927
Michael Harris II,270,93,0.34444444444444444
Matt McLain,279,96,0.34408602150537637
P.J. Higgins,32,11,0.34375
Spencer Steer,291,100,0.3436426116838488
Brady House,172,59,0.3430232558139535
Ketel Marte,318,109,0.34276729559748426
Tyler Soderstrom,318,109,0.34276729559748426
Xander Bogaerts,283,97,0.34275618374558303
George Valera,38,13,0.34210526315789475
Kyle Manzardo,234,80,0.3418803418803419
David Fry,123,42,0.34146341463414637
Nasim Nuñez,246,84,0.34146341463414637
Amed Rosario,123,42,0.34146341463414637
Jeff McNeil,249,85,0.3413654618473896
Kerry Carpenter,167,57,0.3413173652694611
Vaughn Grissom,170,58,0.3411764705882353
Byron Buxton,299,102,0.3411371237458194
Jonny DeLuca,129,44,0.34108527131782945
Agustín Ramírez,129,44,0.34108527131782945
Nick Fortes,182,62,0.34065934065934067
Brandon Nimmo,320,109,0.340625
Zack Gelof,229,78,0.3406113537117904
Nathan Church,191,65,0.3403141361256545
Ernie Clement,306,104,0.33986928104575165
Denzer Guzman,53,18,0.33962264150943394
Mike Yastrzemski,215,73,0.3395348837209302
Edwin Arroyo,56,19,0.3392857142857143
Justin Crawford,230,78,0.3391304347826087
Jonah Heim,118,40,0.3389830508474576
Jorge Soler,239,81,0.3389121338912134
Logan O'Hoppe,180,61,0.3388888888888889
Jonathan India,62,21,0.3387096774193548
Josh Naylor,310,105,0.3387096774193548
Gavin Sheets,248,84,0.3387096774193548
Jakob Marsee,319,108,0.3385579937304075
Nolan Arenado,272,92,0.3382352941176471
David Hamilton,207,70,0.33816425120772947
Luis Rengifo,207,70,0.33816425120772947
Edouard Julien,216,73,0.33796296296296297
Jesús Sánchez,228,77,0.33771929824561403
Evan Carter,228,77,0.33771929824561403
Luis García Jr.,246,83,0.33739837398373984
Brooks Lee,294,99,0.336734693877551
Jacob Wilson,208,70,0.33653846153846156
Michael Conforto,116,39,0.33620689655172414
Edmundo Sosa,128,43,0.3359375
Keibert Ruiz,161,54,0.33540372670807456
Javier Sanoja,182,61,0.33516483516483514
Hunter Goodman,305,102,0.3344262295081967
Austin Hays,45,15,0.3333333333333333
Will Wilson,6,2,0.3333333333333333
Omar Martinez,3,1,0.3333333333333333
Kyle Farmer,15,5,0.3333333333333333
Nick Allen,69,23,0.3333333333333333
Luis Robert Jr.,93,31,0.3333333333333333
CJ Kayfus,27,9,0.3333333333333333
Miles Mastrobuoni,27,9,0.3333333333333333
Brett Harris,6,2,0.3333333333333333
Anthony Seigler,12,4,0.3333333333333333
Zack Short,60,20,0.3333333333333333
Elias Díaz,45,15,0.3333333333333333
Joey Meneses,3,1,0.3333333333333333
Jake Cronenworth,111,37,0.3333333333333333
